,Eff Gas Day/Eff Time,TSP Name,CycleDesc,Loc Purp Desc,Loc,Loc Name,Loc Zn,Loc (Segment),Design Capacity,Operating Capacity,Total Scheduled Quantity,Operationally Available Capacity,IT,Flow Ind,All Qty Avail,Qty Reason,TimeStamp
196,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,54796,AGUABLAN/NGPL LOCKRIDGE WAHA PECOS ,1.0,9.0,"200,100","200,100",0,"200,100",N,BD,Y,,2025-04-26 10:40:07
197,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,54805,ENENBLLC/NGPL HARRINGTON TRAILS CG ,3.0,26.0,"2,340","2,340",74,"2,266",N,D,Y,,2025-04-26 10:40:07
198,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,54824,TRNSPEC/NGPL LOCKRIDGE PECOS       ,1.0,9.0,"500,000","500,000","29,850","470,150",N,BD,Y,,2025-04-26 10:40:07
199,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,54920,THREE/NGPL THREE RIVERS GRUNDY     ,6.0,35.0,"239,000","219,000",0,"219,000",N,D,Y,,2025-04-26 10:40:07
200,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,55254,LAFRONT/NGPL BLACK MARLIN LAMAR PP ,3.0,17.0,"500,000","500,000",0,"500,000",N,D,Y,,2025-04-26 10:40:07
201,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,55376,TARGAND/NGPL VANDELAY DELIVERY LEA ,1.0,9.0,"8,000","8,000","2,950","5,050",N,D,Y,,2025-04-26 10:40:07
202,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,55705,GATEWAY/NGPL BANTAM HEMPSTEAD      ,6.0,27.0,"1,599","1,599",330,"1,269",N,D,Y,,2025-04-26 10:40:07
203,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,55878,IOWAWAST/NGPL LOESS HILLS BIOGAS BU,6.0,13.0,"3,000","3,000",0,"3,000",N,D,Y,,2025-04-26 10:40:07
204,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,55899,OZARK/NGPL NOARK 2 LAWRENCE        ,6.0,27.0,"168,510","168,510","26,000","142,510",N,D,Y,,2025-04-26 10:40:07
205,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,55991,TERCOUNT/NGPL FAIRGROUNDS RNG BUYBA,6.0,39.0,"5,401","5,401",0,"5,401",N,D,Y,,2025-04-26 10:40:07
206,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,56331,INVENERG/NGPL INVENERGY NELSON LEE ,6.0,29.0,"106,800","106,800","8,500","98,300",N,D,Y,,2025-04-26 10:40:07
207,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,56332,INVENERG/NGPL INVENERGY NELSON EXPA,6.0,29.0,"100,000","100,000",0,"100,000",N,D,Y,,2025-04-26 10:40:07
208,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,56339,BTOHLLC/NGPL UPS CNG HODGKINS COOK ,6.0,31.0,"4,100","4,100","2,000","2,100",N,D,Y,,2025-04-26 10:40:07
